CLASSE;LIVRES;PRIX
Tle A4 (ITALIEN);LE VIEUX NEGRE ET LA MEDAILLE (EDICEF);2 500
Tle A4 (ITALIEN);Ngum a Jemea. La foi inébranlable de Rudolf Dualla Manga Bell (CICD);3 000
Tle A4 (ITALIEN);Anglais: INTERACTION IN ENGLISH (CAMBRIDGE);5 000
Tle A4 (ITALIEN);Education à la Citoyenneté : Emergeons en éducation à la citoyenneté (MONDOUX);3 900
Tle A4 (ITALIEN);Italien : PIACERE ! NIVEAU 4/B1 (BERLIN);6 000
Tle A4 (ITALIEN);Philosophie : Emergeons en Philosophie. Tles Littéraires (MONDOUX);7 800
Tle A4 (ITALIEN);De la médiocrité à l’excellence (CLE);3 000
Tle A4 (ITALIEN);Essai sur la problématique philosophique en Afrique (CLE);1 800
Tle A4 (ITALIEN);Mathématiques : Majors en Mathématiques (ASVA);3 900
Tle A4 (ITALIEN);Informatique : A la conquête de l’informatique, niveau 7 (R. LUSTRAL);3 500
Tle A4 (ITALIEN);Sciences Tles Littéraires : L’Excellence en Sciences (NMI);4 000
Tle A4 (ITALIEN);HISTOIRE Tles (CAMBRIDGE);5 000
Tle SES (ALL);Langue Française : Langue et Méthode au 2nd cycle (Afric’Educ);5 000
Tle SES (ALL);STANCES ET POEMES SUIVI DE LES EPREUVES (ECLOSION);1 900
Tle SES (ALL);LE VIEUX NEGRE ET LA MEDAILLE (EDICEF);2 500
Tle SES (ALL);Ngum a Jemea. La foi inébranlable de Rudolf Dualla Manga Bell (CICD);3 000
Tle SES (ALL);Anglais: INTERACTION IN ENGLISH (CAMBRIDGE);5 000
Tle SES (ALL);Education à la Citoyenneté : Emergeons en éducation à la citoyenneté (MONDOUX);3 900
Tle SES (ALL);IHR und WIR Plus 4 (Allemand) (HUEBER);5 000
Tle SES (ALL);Philosophie : Majors en Philosophie. Tles SES (ASVA);5 000
Tle SES (ALL);De la médiocrité à l’excellence (CLE);3 000
Tle SES (ALL);Essai sur la problématique philosophique en Afrique (CLE);1 800
Tle SES (ALL);Mathématiques : Majors en Mathématiques (ASVA);3 900
Tle SES (ALL);Informatique : A la conquête de l’informatique, niveau 7 (R. LUSTRAL);3 500
Tle SES (ALL);Sciences Tles Littéraires : L’Excellence en Sciences (NMI);4 000
Tle SES (ALL);HISTOIRE Tles (CAMBRIDGE);5 000
Tle SES (ESP);Langue Française : Langue et Méthode au 2nd cycle (Afric’Educ);5 000
Tle SES (ESP);STANCES ET POEMES SUIVI DE LES EPREUVES (ECLOSION);1 900
Tle SES (ESP);LE VIEUX NEGRE ET LA MEDAILLE (EDICEF);2 500
Tle SES (ESP);Ngum a Jemea. La foi inébranlable de Rudolf Dualla Manga Bell (CICD);3 000
Tle SES (ESP);Anglais: INTERACTION IN ENGLISH (CAMBRIDGE);5 000
Tle SES (ESP);Education à la Citoyenneté : Emergeons en éducation à la citoyenneté (MONDOUX);3 900
Tle SES (ESP);Nueva Didacta Del Espanol V (HABIBI);6 000
Tle SES (ESP);Philosophie : Majors en Philosophie. Tles SES (ASVA);5 000
